숙소명,질문1,질문2,질문3,질문4,질문5
경포비치호텔,"거동이 불편한 가족이 함께 가는데, 엘리베이터가 있는 숙소를 찾고 있어요. 추천해 주실 수 있나요?","강릉역에서 차로 이동하기 편리한 숙소를 찾고 있는데, 추천해 주실 만한 곳이 있을까요?",주요 관광지와 가까운 숙소를 찾고 있어요. 경포대나 안목 해변 근처에 위치한 곳이 있을까요?,업무 목적으로 세미나실을 이용할 수 있는 숙소를 찾고 있어요. 어떤 곳이 좋을까요?,주차가 가능한 숙소를 찾고 있어요. 혹시 추천해 주실 수 있는 곳이 있을까요?
더 홍씨호텔 강릉,"교통이 불편한 아버지와 함께 여행할 예정인데, 엘리베이터가 있는 숙소를 추천해줄 수 있나요?","아침 식사를 숙소에서 해결하고 싶은데, 유럽식 아침 식사를 제공하는 호텔이 있을까요?",강릉 시내에 머물면서 경포대와 오죽헌 박물관에 쉽게 갈 수 있는 숙소가 있나요?,자동차를 가져갈 예정이라 무료 주차가 가능한 숙소를 찾고 있어요. 추천해주실 수 있나요?,응급 상황에 대비할 수 있도록 의무실이 마련된 숙소가 있을까요?
씨마크호텔,셔틀버스를 제공해서 대중교통을 최소화할 수 있는 숙소가 있을까요?,"강릉역에서 가까운 숙소를 찾고 있는데, 접근성도 좋은 곳이 있을까요?",다양한 사우나 시설을 이용할 수 있는 숙소가 있을까요?,출장 중에 조용히 일할 수 있는 비즈니스 센터가 있는 호텔을 추천해줄 수 있나요?,가족들이 다 같이 수영장을 이용할 수 있는 숙소가 있을까요?
강릉관광호텔,강릉 시내에 위치한 숙소 중에서 관광 명소에 접근성이 좋은 곳이 있을까요?,"문화 예술을 좋아하는데, 강릉 문화예술센터와 가까운 숙소를 추천받을 수 있을까요?","차량을 이용할 예정이라, 주차가 용이한 숙소를 찾고 있어요. 추천해주실 곳이 있나요?","인터넷 사용이 중요한데, 무료 무선 인터넷을 제공하는 숙소가 있을까요?",응급 상황에 대비해 의료 시설이 잘 갖춰진 숙소를 찾고 있습니다. 추천해주실 곳이 있을까요?
Hotel Tops10,"장애가 있는 가족과 함께 여행할 예정인데, 휠체어로 이동이 가능한 숙소를 추천해 줄 수 있나요?",동해를 한눈에 볼 수 있는 바다 전망을 가진 숙소가 있을까요?,강릉역에서 이동하기 편리한 위치에 있는 숙소가 있나요?,"아이들과 함께 즐길 수 있는 다양한 편의시설이 있는 호텔을 찾고 있는데, 추천할 만한 곳이 있을까요?",공항에서 한 시간 이내에 도착할 수 있는 숙소가 있습니까?
호텔이스트나인,"거동이 불편한 부모님과 함께 여행할 예정인데, 엘리베이터가 있는 숙소를 추천해 주실 수 있을까요?",강릉역과 가까운 편리한 위치에 있는 숙소를 찾고 있어요. 이동이 간편한 곳이 있을까요?,응급 상황에 대비할 수 있는 시설이 마련된 숙소가 있을까요? 안전이 중요한 여행이라서요,주문진 수산시장에 쉽게 접근할 수 있는 숙소가 있나요? 차로 20분 이내면 좋겠어요,"오죽헌을 방문할 계획인데, 근처에 머물기 좋은 숙소가 있을까요? 접근성이 좋은 곳이 필요해요"
주문진리조트,"부모님이 연세가 있으셔서, 엘리베이터가 있는 숙소를 찾고 있어요. 추천해 주실 곳이 있을까요?","응급 상황에 대비한 구급상자나 의무실이 있는 숙소를 찾고 있는데, 그런 곳이 있을까요?",강릉 커피 거리까지 차로 이동하기 편리한 숙소가 있을까요?,장애인 고객을 위한 편의 시설이 잘 갖춰진 숙소를 추천해 줄 수 있나요?,"오죽헌과 가까운 숙소를 찾고 있는데, 차로 30분 이내에 갈 수 있는 곳이 있을까요?"
썬크루즈호텔&리조트,"해돋이를 좋아하는데, 해돋이 공원에서 일출을 볼 수 있는 숙소가 있을까요?","정동진역에서 너무 멀지 않은 숙소를 찾고 있는데, 차로 10분 이내에 있는 곳이 있을까요?",긴급 상황에 대비할 수 있도록 구급상자나 의무실이 준비된 숙소 있나요?,"자연 경관을 즐기고 싶어서, 정동진 해안 절경을 감상할 수 있는 숙소가 있을까요?","부모님이 연로하셔서 편의시설이 잘 갖춰진 숙소가 필요해요, 어떤 곳이 좋을까요?"
스카이 베이 경포,"휠체어를 사용하는 가족과 함께 여행하는데, 휠체어로 출입 가능한 숙소가 있을까요?",응급 상황에 대비해서 구급상자가 마련된 숙소를 추천받을 수 있을까요?,엘리베이터가 있어서 이동이 편리한 숙소가 필요해요. 이런 곳이 있을까요?,"장애인 편의시설이 잘 갖춰져 있는 숙소를 찾고 있는데, 추천해 주실 수 있나요?",출입구에 계단이 없고 휠체어로 이동이 편리한 숙소를 추천받고 싶어요. 어떤 곳이 있을까요?
지브,양양 국제공항에서 차로 1시간 이내에 도착할 수 있는 숙소가 있을까요? 공항 접근성이 중요해요,주문진 해수욕장이나 주문진오징어축제까지 도보로 갈 수 있는 숙소를 찾고 있어요. 추천해 주실 수 있나요?,"부모님과 함께 가는데, 고령층이 편하게 머물 수 있는 숙소가 있을까요? 엘리베이터나 편의시설이 잘 되어 있으면 좋겠어요","무료로 와이파이를 사용할 수 있는 숙소를 찾고 있어요. 인터넷 사용이 중요한데, 그런 곳이 있을까요?","장애인 고객도 이용하기 편리한 숙소를 찾고 있는데, 휠체어나 보조기구를 사용할 수 있는 환경이 갖춰져 있나요?"
G7 오션뷰 펜션,"부모님이 연세가 많으신데, 장애인 편의 시설이 잘 갖춰진 숙소가 있을까요?","주문진오징어축제를 즐기고 싶은데, 축제장과 가까운 숙소를 추천해 줄 수 있어?",양양 국제공항에서 이동하기 편리한 숙소가 있을까?,"무료 와이파이가 제공되는 숙소를 찾고 있는데, 괜찮은 곳 있을까요?","해변을 자주 걸을 수 있는 숙소를 찾고 있는데, 주문진 해수욕장과 가까운 곳이 있을까요?"
더 클래식 펜션,"바다낚시를 좋아하는데, 낚시 장비를 대여할 수 있는 숙소가 있을까요?","가족 중에 거동이 불편한 분이 계셔서, 장애인을 위한 편의시설이 잘 갖춰진 숙소를 찾고 있어요",휠체어 접근이 가능한 숙소 중에서 바다와 가까운 곳이 있을까요?,"바다낚시를 처음 해보려는데, 장비를 저렴하게 빌릴 수 있는 숙소가 있나요?",부모님이 연로하셔서 계단 없이 편리하게 이동할 수 있는 숙소가 필요해요
벨라,"인터넷을 자주 사용해야 하는데, 공용 지역에서 무료 Wi-Fi를 제공하는 숙소가 있을까요?","강릉종합운동장 근처에 위치한 숙소를 찾고 있는데, 추천해주실 만한 곳이 있을까요?","이동이 불편하신 부모님과 함께 갈 예정인데, 장애인 편의 시설이 잘 갖춰진 숙소가 있을까요?",여행 중에 운동을 즐기고 싶어요. 근처 체육 시설에 쉽게 접근할 수 있는 숙소가 있을까요?,"노약자분들이 함께 가시는데, 이용하기 편리한 숙소를 알고 싶어요. 추천해주실 수 있나요?"
영진스테이2,영어를 할 줄 몰라서 영어로 소통이 가능한 숙소가 필요해요. 추천해 주실 수 있나요?,바다에서 스노쿨링을 즐길 수 있는 여름 휴가철에 가기 좋은 숙소가 있을까요?,가을에 단풍을 즐기기에 좋은 위치에 있는 숙소가 있을까요?,겨울 스포츠를 즐기기 위해 강릉 근처에서 머물 만한 숙소를 찾고 있어요. 추천해 주실 수 있나요?,"주문진수산시장을 자주 방문할 계획인데, 그 근처에 머물기 좋은 숙소가 있을까요?"
